date,open,high,low,close,volume
11/01/08,24.7408,24.8133,24.4364,24.5741,55187900
14/01/08,24.9727,25.0524,24.6973,24.922,52792200
15/01/08,24.6611,24.9147,24.6393,24.6393,61606200
16/01/08,24.219,24.3857,23.5596,24.0813,120778500
17/01/08,24.306,24.4944,23.8929,23.9944,94247800
18/01/08,24.0306,24.6393,23.8929,23.9219,117062000
22/01/08,22.8566,23.5741,22.8276,23.1827,108521400
23/01/08,22.8131,23.2262,22.4943,23.1392,137597400
24/01/08,23.4436,24.1755,23.2769,24.0958,155640400
25/01/08,25.2916,25.364,23.8204,23.8712,196992300
28/01/08,23.9292,23.9871,23.4943,23.7117,81019000
29/01/08,23.806,23.8349,23.4436,23.6248,68023000
30/01/08,23.5958,23.7697,23.2262,23.3349,106432600
31/01/08,23.1247,23.7262,22.9871,23.6248,103642200
01/02/08,22.5088,24.0958,21.9218,22.0666,291138900
04/02/08,22.0957,22.2624,21.8203,21.8783,119998600
05/02/08,21.6754,21.6971,20.9362,21.0666,137534100
06/02/08,21.2188,21.2696,20.5007,20.6681,138315600
07/02/08,20.5376,20.8565,20.2188,20.3782,164964900
